day,outlook,temp,humidity,wind,season,play
1,sunny,hot,high,weak,summer,0
2,sunny,hot,high,strong,summer,0
3,overcast,hot,high,weak,summer,1
4,rain,mild,high,weak,spring,1
5,rain,cool,normal,weak,spring,0
6,overcast,cool,normal,strong,spring,1
7,sunny,mild,normal,weak,spring,0
7,sunny,cool,high,strong,autumn,1
8,rain,mild,high,weak,autumn,1
9,rain,cool,normal,strong,autumn,1
10,sunny,mild,normal,weak,autumn,1
11,overcast,mild,normal,strong,winter,1
12,overcast,cool,normal,weak,winter,1
13,rain,mild,high,strong,winter,0
